AGENCY,UPLOADED ON,VALUE
Department of State,2/26/2025,1875661
Department of State,2/26/2025,1857862
Department of State,2/26/2025,1856145
Department of State,2/26/2025,1854957
Department of State,2/26/2025,1854449
Department of State,2/26/2025,1854000
Department of State,2/26/2025,1852301
Department of State,2/26/2025,1848868
Department of State,2/26/2025,1832305
Department of State,2/26/2025,1830198
Department of State,2/26/2025,1826465
Department of State,2/26/2025,1822987
Department of State,2/26/2025,1805843
Department of State,2/26/2025,1800000
Department of State,2/26/2025,1800000
Department of State,2/26/2025,1800000
Department of State,2/26/2025,1800000
Department of State,2/26/2025,1790733
Department of State,2/26/2025,2610000
Department of State,2/26/2025,1784408
Department of State,2/26/2025,1780138
Department of State,2/26/2025,1779174
Department of State,2/26/2025,1777776
Department of State,2/26/2025,493827
Department of State,2/26/2025,1776854
Department of State,2/26/2025,1776023
Department of State,2/26/2025,1750000
Department of State,2/26/2025,1750000
Department of State,2/26/2025,1750000
Department of State,2/26/2025,1750000
Department of State,2/26/2025,1745802
Department of State,2/26/2025,1740000
Department of State,2/26/2025,1737654
Department of State,2/26/2025,1735000
Department of State,2/26/2025,1728150
Department of State,2/26/2025,1727375
Department of State,2/26/2025,1725654
Department of State,2/26/2025,1700000
Department of State,2/26/2025,1700000
Department of State,2/26/2025,1700000
Department of State,2/26/2025,1688438
Department of State,2/26/2025,1685000
Department of State,2/26/2025,1680864
Department of State,2/26/2025,1663062
Department of State,2/26/2025,1652027
Department of State,2/26/2025,1650000
Department of State,2/26/2025,1642510
Department of State,2/26/2025,1641000
Department of State,2/26/2025,1637513
Department of State,2/26/2025,1629625
Department of State,2/26/2025,1628751
Department of State,2/26/2025,1626908
Department of State,2/26/2025,1603942
Department of State,2/26/2025,1600000
Department of State,2/26/2025,1600000
Department of State,2/26/2025,1584205
Department of State,2/26/2025,1583030
Department of State,2/26/2025,1579419
Department of State,2/26/2025,1558642
Department of State,2/26/2025,1556642
Department of State,2/26/2025,2962960
Department of State,2/26/2025,1550000
Department of State,2/26/2025,1537836
Department of State,2/26/2025,1530374
Department of State,2/26/2025,1515000
Department of State,2/26/2025,1515000
Department of State,2/26/2025,1511991
Department of State,2/26/2025,1511150
Department of State,2/26/2025,1507500
Department of State,2/26/2025,2400000
Department of State,2/26/2025,1500000
Department of State,2/26/2025,1500000
Department of State,2/26/2025,8000
Department of State,2/26/2025,2424725
Department of State,2/26/2025,1500000
Department of State,2/26/2025,1500000
Department of State,2/26/2025,1500000
